改进方案,方案说明,模拟次数,整体可靠度,游览约束达标率,返程约束达标率,第5天失败率,平均道路总延误h,平均排队总延误h,相对基准提升百分点,整体可靠度百分比
基准方案,原问题二 P1 行程，不做调整。,3000,0.13133333333333333,0.17033333333333334,0.49233333333333335,0.7376666666666667,7.607861847881615,3.568984709065041,0.0,13.133333333333333
全程准备压缩20%,利用固定耗时±20%弹性，将每日起床早餐与整装由1.5h压缩为1.2h。,3000,0.219,0.28,0.548,0.6083333333333334,8.448493115566682,2.753220000824406,8.766666666666667,21.9
第5天仅游览A5,将最高风险的第5天拆分为单景点日，仅保留民俗古村 A5，减少闭园压力。,3000,0.483,0.608,0.638,0.0020000000000000018,7.279191816518891,3.49737196170609,35.16666666666667,48.3
第5天仅游览A1,将最高风险的第5天拆分为单景点日，仅保留古城老街 A1，减少连续游览风险。,3000,0.49,0.6076666666666667,0.6363333333333333,0.015000000000000013,7.399809428134781,3.4774183122175497,35.86666666666667,49.0
90%目标保守方案,每日仅安排1个景点，优先选择全天开放或闭园较晚景点，并对A10采用12:00后错峰入园。,3000,0.9143333333333333,0.986,0.9256666666666666,0.04400000000000004,7.313942052585186,1.3674495690277424,78.3,91.43333333333334
