运行序号,随机种子,最优方案编号,最优景点集合,综合筛选得分,总喜好度,总行车时间min,日耗时方差,是否与锁定P1景点集一致
1,20260620,P1,A3、A7、A9、A8、A1、A10、A5、A2,0.8192133280422023,62.199999999999996,426.0,1.6376000000000002,否
2,20260717,P1,A3、A7、A10、A1、A2、A8、A5、A6,0.8236213698170218,63.0,474.0,0.4016,是
3,20260814,P1,A7、A3、A5、A10、A6、A2、A8、A1,0.8341710634901308,63.0,474.0,0.42560000000000003,是
4,20260911,P1,A8、A10、A1、A5、A7、A3、A2、A6,0.8285876543445637,63.0,468.0,0.38640000000000085,是
5,20261008,P1,A3、A7、A6、A10、A8、A5、A1、A2,0.836221853082318,63.0,468.0,0.3863999999999995,是
6,20261105,P1,A8、A10、A7、A3、A2、A1、A5、A6,0.8331825609031493,63.0,468.0,0.38640000000000085,是
7,20261202,P1,A8、A5、A1、A10、A3、A7、A6、A2,0.8109400353319709,63.0,474.0,0.40160000000000007,是
8,20261299,P1,A2、A3、A7、A5、A1、A8、A10、A6,0.8330086316485281,63.0,468.0,0.3863999999999995,是
