道路扰动水平,排队扰动水平,道路高峰概率,道路平峰概率,排队高峰概率,排队平峰概率,整体可靠性,游览约束达标率,返程约束达标率,整体可靠性百分比
低,低,0.27999999999999997,0.12,0.4,0.16000000000000003,0.22233333333333333,0.268,0.625,22.233333333333334
低,中,0.27999999999999997,0.12,0.5,0.2,0.18633333333333332,0.22733333333333333,0.598,18.633333333333333
低,高,0.27999999999999997,0.12,0.6,0.24,0.13066666666666665,0.16933333333333334,0.5643333333333334,13.066666666666665
中,低,0.35,0.15,0.4,0.16000000000000003,0.17066666666666666,0.224,0.5383333333333333,17.066666666666666
中,中,0.35,0.15,0.5,0.2,0.12833333333333333,0.181,0.4736666666666667,12.833333333333332
中,高,0.35,0.15,0.6,0.24,0.09666666666666666,0.13533333333333333,0.45566666666666666,9.666666666666666
高,低,0.42,0.18,0.4,0.16000000000000003,0.12766666666666668,0.18466666666666667,0.44433333333333336,12.766666666666667
高,中,0.42,0.18,0.5,0.2,0.091,0.13666666666666666,0.4036666666666667,9.1
高,高,0.42,0.18,0.6,0.24,0.06533333333333333,0.09533333333333334,0.368,6.533333333333332
